geohash6,label_weekly_raw,label_weekly,label_daily,label_quarterly,active_rate
qp03mz,0,1,5,6,0.9339139344262295
qp03nb,5,6,6,3,0.48599726775956287
qp03nd,0,6,6,7,0.29081284153005466
qp03nf,0,5,6,3,0.25495218579234974
qp03nn,0,4,1,7,0.07872267759562841
qp03np,0,7,2,1,0.22762978142076504
qp03nq,5,3,2,2,0.8958333333333334
qp03nr,5,7,2,1,0.921448087431694
qp03nw,5,3,2,2,0.9468920765027322
qp03nx,5,2,2,7,0.9571379781420765
qp03ny,2,7,2,1,0.9752390710382514
qp03nz,2,7,2,1,0.9935109289617486
qp03p0,0,3,6,2,0.24795081967213115
qp03p1,0,6,1,7,0.25443989071038253
qp03p2,4,6,6,3,0.6302937158469946
qp03p3,5,6,6,3,0.5587431693989071
qp03p4,0,6,6,5,0.27561475409836067
qp03p5,0,5,6,3,0.05959699453551912
qp03p6,5,6,6,3,0.5389344262295082
qp03p7,2,6,6,2,0.4912909836065574
qp03p8,5,6,6,3,0.6360997267759563
qp03p9,5,6,6,3,0.5566939890710383
qp03pb,2,6,6,3,0.6796448087431693
qp03pc,5,3,6,2,0.45969945355191255
qp03pd,5,6,6,3,0.6487363387978142
qp03pe,5,6,6,2,0.6813524590163934
qp03pf,0,6,6,3,0.3620218579234973
qp03pg,0,5,1,3,0.060109289617486336
qp03pj,0,4,1,0,0.0025614754098360654
qp03pk,0,6,6,3,0.3780737704918033
qp03pm,0,5,6,7,0.15010245901639344
qp03pn,5,7,2,1,0.7102117486338798
qp03pp,2,7,2,2,0.9962431693989071
qp03pq,5,2,2,7,0.8370901639344263
qp03pr,2,7,2,2,0.9979508196721312
qp03ps,5,6,6,3,0.5078551912568307
qp03pt,5,3,6,2,0.5109289617486339
qp03pu,0,4,1,1,0.023224043715846996
qp03pv,0,6,6,1,0.28978825136612024
qp03pw,0,2,2,5,0.7909836065573771
qp03px,5,2,2,5,0.9182035519125683
qp03py,0,1,5,6,0.661714480874317
qp03pz,0,1,2,6,0.8717554644808743
qp03q0,0,1,5,6,0.8072062841530054
qp03q1,0,6,5,7,0.8230874316939891
qp03q2,2,7,2,2,0.9709699453551912
qp03q3,5,2,2,7,0.9402322404371585
qp03q4,5,3,5,2,0.787568306010929
qp03q5,5,2,2,7,0.9079576502732241
qp03q6,5,1,2,6,0.9325478142076503
qp03q7,5,2,2,7,0.9515027322404371
qp03q8,5,2,2,7,0.9434767759562842
qp03q9,2,1,2,6,0.9950478142076503
qp03qb,5,2,2,7,0.9851434426229508
qp03qc,5,2,2,5,0.9818989071038251
qp03qd,2,2,2,7,0.9897540983606558
qp03qe,5,1,2,6,0.991974043715847
qp03qf,4,3,5,2,0.9979508196721312
qp03qg,3,3,2,2,0.9981215846994536
qp03qh,5,1,4,6,0.9499658469945356
qp03qj,4,3,2,2,0.9979508196721312
qp03qk,0,7,2,1,0.7674180327868853
qp03qm,4,7,2,2,0.9981215846994536
qp03qn,0,7,2,1,0.7937158469945356
qp03qp,0,4,2,4,0.07581967213114754
qp03qq,5,3,2,2,0.8355532786885246
qp03qr,0,4,2,7,0.4921448087431694
qp03qs,5,1,2,6,0.9950478142076503
qp03qt,0,4,1,2,0.1675204918032787
qp03qu,2,1,2,5,0.9967554644808743
qp03qv,5,7,2,1,0.922301912568306
qp03qw,0,7,2,1,0.2718579234972678
qp03qx,0,7,2,1,0.578551912568306
qp03qy,4,3,2,2,0.9692622950819673
qp03qz,5,3,2,2,0.668886612021858
qp03r0,2,7,2,1,0.9970969945355191
qp03r1,2,3,2,2,0.9976092896174863
qp03r2,4,3,2,2,0.9979508196721312
qp03r3,2,3,2,2,0.9972677595628415
qp03r4,5,2,2,7,0.9796789617486339
qp03r5,5,2,2,6,0.9781420765027322
qp03r6,2,7,2,7,0.9941939890710383
qp03r7,0,7,2,1,0.7387295081967213
qp03r8,5,7,2,7,0.962431693989071
qp03r9,2,3,2,2,0.9906079234972678
qp03rb,0,2,2,7,0.7979849726775956
qp03rc,0,7,2,1,0.6442964480874317
qp03rd,5,2,2,7,0.9356215846994536
qp03re,2,7,2,1,0.9772882513661202
qp03rf,5,7,2,1,0.9228142076502732
qp03rg,5,7,2,1,0.9371584699453552
qp03rh,2,3,2,2,0.9579918032786885
qp03rj,5,2,2,5,0.9566256830601093
qp03rk,5,7,2,1,0.9076161202185792
qp03rm,2,1,2,6,0.9904371584699454
qp03rn,5,7,2,1,0.8621926229508197
qp03rp,5,7,2,1,0.920594262295082
qp03rq,5,2,2,7,0.9443306010928961
qp03rr,5,1,2,6,0.9649931693989071
qp03rs,0,1,2,6,0.8843920765027322
qp03rt,2,2,2,7,0.9907786885245902
qp03ru,5,1,5,6,0.9807035519125683
qp03rv,5,1,5,6,0.9923155737704918
qp03rw,2,3,2,7,0.9941939890710383
qp03rx,5,1,2,6,0.9788251366120219
qp03ry,2,1,2,6,0.9914617486338798
qp03rz,5,1,2,6,0.9735314207650273
qp03t2,0,1,5,6,0.4188866120218579
qp03t3,0,1,5,6,0.7108948087431693
qp03t6,0,1,5,6,0.6791325136612022
qp03t7,0,1,5,6,0.7696379781420765
qp03t8,0,1,5,6,0.9516734972677595
qp03t9,5,6,5,2,0.8198428961748634
qp03tb,5,1,5,6,0.9588456284153005
qp03tc,5,1,2,6,0.9825819672131147
qp03td,0,1,5,6,0.7807377049180327
qp03te,0,1,5,6,0.6263661202185792
qp03tf,0,1,2,6,0.8336748633879781
qp03tg,0,1,5,6,0.7537568306010929
qp03tk,0,5,5,6,0.13200136612021857
qp03tm,0,1,5,6,0.2969603825136612
qp03tq,0,5,6,6,0.13387978142076504
qp03tr,0,0,1,0,0.03432377049180328
qp03ts,0,1,5,6,0.9151297814207651
qp03tt,0,1,5,6,0.462431693989071
qp03tu,0,1,2,6,0.7894467213114754
qp03tv,0,1,2,6,0.7544398907103825
qp03tw,0,1,5,6,0.5536202185792349
qp03tx,0,1,5,6,0.5715505464480874
qp03ty,0,1,5,6,0.798155737704918
qp03tz,0,1,5,6,0.5766734972677595
qp03v2,0,5,1,6,0.06403688524590163
qp03v3,0,0,1,0,0.01639344262295082
qp03v9,0,1,5,6,0.2228483606557377
qp03vb,0,1,5,6,0.6977459016393442
qp03vc,0,5,1,6,0.04491120218579235
qp03vd,0,0,5,6,0.021687158469945355
qp03vf,0,0,1,0,0.022370218579234973
qp03w0,5,7,2,7,0.9737021857923497
qp03w1,2,1,2,6,0.9933401639344263
qp03w2,0,7,2,1,0.5879439890710383
qp03w3,2,3,5,2,0.9596994535519126
qp03w4,5,1,2,6,0.9673838797814208
qp03w5,5,2,2,7,0.8849043715846995
qp03w6,5,2,2,5,0.9269125683060109
qp03w7,5,2,2,7,0.8536543715846995
qp03w8,4,3,2,2,0.9940232240437158
qp03w9,6,7,2,2,0.9981215846994536
qp03wb,0,7,2,1,0.5988729508196722
qp03wc,1,3,2,2,0.9929986338797814
qp03wd,1,7,2,2,0.9976092896174863
qp03we,4,7,2,7,0.9972677595628415
qp03wf,3,3,2,2,0.9982923497267759
qp03wg,1,2,2,5,0.9981215846994536
qp03wh,0,1,2,6,0.8333333333333334
qp03wj,0,1,5,6,0.9439890710382514
qp03wk,5,1,2,6,0.8852459016393442
qp03wm,5,1,2,6,0.9709699453551912
qp03wn,5,1,2,6,0.9050546448087432
qp03wp,0,1,5,6,0.8218920765027322
qp03wq,5,1,2,6,0.9002732240437158
qp03wr,5,1,2,6,0.9637978142076503
qp03ws,2,2,2,5,0.9933401639344263
qp03wt,5,1,2,6,0.9571379781420765
qp03wu,1,7,2,7,0.9979508196721312
qp03wv,2,1,2,6,0.9953893442622951
qp03ww,5,1,2,6,0.9578210382513661
qp03wx,5,1,2,6,0.98224043715847
qp03wy,4,7,2,2,0.9979508196721312
qp03wz,6,3,2,2,0.9982923497267759
qp03x0,5,7,2,1,0.7882513661202186
qp03x1,2,7,2,7,0.9914617486338798
qp03x2,2,2,2,7,0.9776297814207651
qp03x3,2,1,2,6,0.9940232240437158
qp03x4,5,1,2,6,0.936646174863388
qp03x5,4,1,2,6,0.9976092896174863
qp03x6,5,1,2,6,0.9805327868852459
qp03x7,2,1,2,6,0.9970969945355191
qp03x8,5,1,2,6,0.9778005464480874
qp03x9,5,1,2,6,0.9427937158469946
qp03xb,5,1,2,6,0.9002732240437158
qp03xc,0,1,5,6,0.9004439890710383
qp03xd,5,1,2,6,0.9603825136612022
qp03xe,2,2,2,7,0.9800204918032787
qp03xf,2,1,2,6,0.9923155737704918
qp03xg,2,1,2,6,0.9969262295081968
qp03xh,4,1,2,5,0.9979508196721312
qp03xj,4,7,2,7,0.9977800546448088
qp03xk,4,1,2,6,0.9979508196721312
qp03xm,6,3,2,2,0.9981215846994536
qp03xn,2,1,2,5,0.9969262295081968
qp03xp,1,7,2,2,0.9979508196721312
qp03xq,1,7,2,1,0.9965846994535519
qp03xr,2,3,2,2,0.9882172131147541
qp03xs,4,1,2,5,0.9979508196721312
qp03xt,1,7,2,7,0.9979508196721312
qp03xu,2,1,2,6,0.9960724043715847
qp03xv,4,2,2,5,0.9979508196721312
qp03xw,6,7,2,7,0.9982923497267759
qp03xx,6,3,2,2,0.9981215846994536
qp03xy,1,2,2,7,0.9979508196721312
qp03xz,4,2,2,5,0.9979508196721312
qp03y0,0,1,5,6,0.4110314207650273
qp03y1,0,1,5,6,0.4415983606557377
qp03y2,0,1,5,6,0.8618510928961749
qp03y3,0,1,5,6,0.3411885245901639
qp03y4,0,5,1,6,0.05737704918032787
qp03y5,0,0,1,0,0.0025614754098360654
qp03y6,0,1,2,6,0.8089139344262295
qp03y7,5,1,2,6,0.9207650273224044
qp03y8,2,1,2,6,0.9957308743169399
qp03y9,5,1,2,6,0.9863387978142076
qp03yb,6,3,2,2,0.9982923497267759
qp03yc,2,2,2,7,0.9953893442622951
qp03yd,5,1,4,6,0.9959016393442623
qp03ye,5,1,2,6,0.9685792349726776
qp03yf,5,7,2,7,0.9520150273224044
qp03yg,1,3,2,2,0.9974385245901639
qp03yh,0,0,1,0,0.007001366120218579
qp03yk,0,1,2,6,0.8063524590163934
qp03ym,0,1,5,6,0.6244877049180327
qp03yn,0,0,1,0,0.00017076502732240437
qp03yq,0,5,5,0,0.3709016393442623
qp03yr,0,0,1,0,0.01092896174863388
qp03ys,5,1,2,6,0.9899248633879781
qp03yt,5,1,2,6,0.9414275956284153
qp03yu,5,1,2,6,0.9491120218579235
qp03yv,0,1,5,6,0.9055669398907104
qp03yw,0,1,5,6,0.7295081967213115
qp03yx,0,1,5,6,0.891051912568306
qp03yy,5,1,5,6,0.9701161202185792
qp03yz,0,1,5,6,0.9159836065573771
qp03z0,1,7,2,2,0.9979508196721312
qp03z1,0,2,2,5,0.7793715846994536
qp03z2,1,3,2,2,0.9979508196721312
qp03z3,0,5,2,5,0.09853142076502733
qp03z4,5,2,2,5,0.9772882513661202
qp03z5,0,7,2,1,0.789275956284153
qp03z6,0,1,2,5,0.443818306010929
qp03z7,0,1,2,6,0.6478825136612022
qp03z8,4,3,2,2,0.9955601092896175
qp03z9,2,7,2,7,0.9940232240437158
qp03zb,4,2,2,5,0.9979508196721312
qp03zc,2,1,2,6,0.9977800546448088
qp03zd,5,7,2,1,0.8543374316939891
qp03ze,5,7,2,1,0.9306693989071039
qp03zf,2,1,5,6,0.9976092896174863
qp03zg,5,1,5,6,0.9665300546448088
qp03zh,5,2,2,6,0.8247950819672131
qp03zj,0,1,1,6,0.24385245901639344
qp03zk,0,2,2,7,0.7479508196721312
qp03zm,0,2,2,5,0.5987021857923497
qp03zn,0,1,5,6,0.8340163934426229
qp03zp,0,1,5,6,0.600068306010929
qp03zq,0,5,1,0,0.1328551912568306
qp03zr,0,1,5,6,0.6560792349726776
qp03zs,0,1,2,6,0.8480191256830601
qp03zt,4,3,2,2,0.9979508196721312
qp03zu,5,1,2,6,0.9626024590163934
qp03zv,1,3,6,2,0.9981215846994536
qp03zw,0,3,2,2,0.8307718579234973
qp03zx,0,0,1,0,0.0025614754098360654
qp03zy,0,7,2,1,0.1173155737704918
qp03zz,4,3,2,2,0.9974385245901639
qp06n8,0,1,6,6,0.47728825136612024
qp06n9,0,1,5,6,0.3254781420765027
qp06nb,0,1,5,6,0.8642418032786885
qp06nc,0,1,5,6,0.6892076502732241
qp06nd,0,1,5,6,0.39651639344262296
qp06ne,0,1,5,6,0.45952868852459017
qp06nf,0,1,5,6,0.7057718579234973
qp06ng,0,7,2,1,0.4443306010928962
qp06ns,0,5,5,6,0.10467896174863388
qp06nt,0,5,5,6,0.10382513661202186
qp06nu,0,4,1,1,0.04439890710382514
qp06nv,0,5,1,6,0.19962431693989072
qp06nw,0,0,1,4,0.0008538251366120218
qp06ny,0,5,5,6,0.11629098360655737
qp06p0,0,1,1,6,0.3119877049180328
qp06p1,0,1,2,6,0.6869877049180327
qp06p2,0,1,2,6,0.8183060109289617
qp06p3,0,7,2,1,0.6658128415300546
qp06p4,0,1,1,6,0.6103142076502732
qp06p5,5,6,5,3,0.8608265027322405
qp06p6,0,1,5,6,0.46328551912568305
qp06p7,0,1,5,6,0.773224043715847
qp06p8,0,5,1,5,0.13148907103825136
qp06p9,0,1,1,6,0.5645491803278688
qp06pb,2,3,4,2,0.9793374316939891
qp06pc,0,1,5,6,0.592896174863388
qp06pd,0,1,5,6,0.6914275956284153
qp06pe,0,1,5,6,0.9127390710382514
qp06pf,0,1,2,6,0.7805669398907104
qp06pg,0,1,1,6,0.3536543715846995
qp06ph,5,1,5,6,0.9190573770491803
qp06pj,0,1,5,6,0.5396174863387978
qp06pk,0,1,5,6,0.8048155737704918
qp06pm,0,1,1,6,0.5087090163934426
qp06pn,0,5,2,6,0.2850068306010929
qp06pq,0,1,5,6,0.5411543715846995
qp06ps,0,1,1,6,0.5418374316939891
qp06pt,0,1,5,6,0.3615095628415301
qp06pu,0,5,5,0,0.1948428961748634
qp06pv,0,1,5,6,0.38148907103825136
qp06pw,0,1,2,6,0.641905737704918
qp06py,0,1,6,6,0.8599726775956285
qp08b1,0,4,6,0,0.06506147540983606
qp08b4,0,6,6,7,0.23292349726775957
qp08b5,0,5,1,3,0.0939207650273224
qp08b6,0,6,6,3,0.24436475409836064
qp08b7,0,6,6,3,0.3447745901639344
qp08bd,0,6,6,3,0.24709699453551912
qp08be,0,5,6,3,0.09614071038251366
qp08bg,0,5,6,3,0.08572404371584699
qp08bh,5,6,6,3,0.5478142076502732
qp08bj,2,6,6,3,0.6509562841530054
qp08bk,2,6,4,3,0.6429303278688525
qp08bm,0,6,6,3,0.3468237704918033
qp08bn,0,5,1,5,0.08265027322404371
qp08bp,5,6,6,7,0.5317622950819673
qp08bq,5,6,1,2,0.5271516393442623
qp08br,5,6,6,3,0.5336407103825137
qp08bs,0,4,6,3,0.049863387978142076
qp08bt,0,4,1,0,0.00973360655737705
qp08bu,0,4,6,3,0.09784836065573771
qp08bv,0,4,6,0,0.10980191256830601
qp08bw,0,6,6,2,0.35860655737704916
qp08bx,0,5,6,7,0.11185109289617487
qp08by,5,6,6,3,0.6314890710382514
qp08bz,5,6,6,3,0.5698428961748634
qp08c5,0,4,1,0,0.042008196721311473
qp08ch,0,0,1,0,0.010416666666666666
qp08cj,0,4,6,0,0.05003415300546448
qp08ck,0,6,6,3,0.37158469945355194
qp08cm,0,6,6,2,0.3628756830601093
qp08cn,0,6,6,3,0.4047131147540984
qp08cp,5,6,6,3,0.7136270491803278
qp08cu,0,4,1,1,0.09921448087431695
qp08cv,0,7,1,1,0.2677595628415301
qp08cy,0,7,1,1,0.46021174863387976
qp08fh,0,4,1,5,0.13558743169398907
qp08fj,0,4,1,1,0.10741120218579235
qp08fn,0,7,1,1,0.21328551912568305
qp08fp,0,4,1,1,0.031420765027322405
qp08fq,0,0,0,0,0.0023907103825136613
qp08fr,0,0,1,0,0.020150273224043717
qp08fs,0,0,5,4,0.00017076502732240437
qp08ft,0,0,1,0,0.0025614754098360654
qp08fu,0,0,4,0,0.004439890710382513
qp08fv,0,5,0,6,0.17896174863387979
qp08fw,0,5,1,6,0.11031420765027322
qp08fx,0,7,3,1,0.3927595628415301
qp08fy,0,2,0,5,0.41581284153005466
qp08fz,0,5,1,7,0.1210724043715847
qp08g4,0,0,5,0,0.007855191256830601
qp08g5,0,0,0,4,0.0006830601092896175
qp08g6,0,0,1,0,0.015881147540983607
qp08g7,0,0,1,1,0.026810109289617485
qp08gh,0,0,0,0,0.0023907103825136613
qp08gj,0,5,4,5,0.0741120218579235
qp08gk,0,5,0,5,0.044740437158469946
qp08gm,0,5,0,6,0.2387295081967213
qp08gn,0,5,0,7,0.1671789617486339
qp08gp,0,2,0,5,0.33452868852459017
qp08gq,0,6,0,3,0.5138319672131147
qp08gr,0,2,0,3,0.6140710382513661
qp08gs,0,0,1,0,0.010075136612021859
qp08gt,0,6,4,7,0.37995218579234974
qp08gu,0,0,0,0,0.004610655737704918
qp08gv,0,7,4,1,0.14754098360655737
qp08gw,0,5,0,1,0.3551912568306011
qp08gx,0,6,0,7,0.5568647540983607
qp08gy,0,2,4,7,0.320525956284153
qp08gz,5,7,3,1,0.7383879781420765
qp08uj,0,0,1,0,0.012978142076502733
qp08un,0,5,0,3,0.30174180327868855
qp08up,0,5,1,5,0.06693989071038252
qp0900,4,6,6,3,0.7332650273224044
qp0901,0,6,6,3,0.3550204918032787
qp0902,5,6,6,3,0.6010928961748634
qp0903,0,6,6,3,0.4144467213114754
qp0904,5,6,6,2,0.5771857923497268
qp0905,5,6,6,3,0.5280054644808743
qp0906,0,3,1,2,0.1635928961748634
qp0907,2,6,6,3,0.657103825136612
qp0908,0,6,6,3,0.2307035519125683
qp0909,5,6,6,3,0.49812158469945356
qp090b,4,3,6,2,0.8562158469945356
qp090c,5,6,6,3,0.641051912568306
qp090d,0,6,6,3,0.32325819672131145
qp090e,2,6,6,3,0.7945696721311475
qp090h,5,6,6,7,0.5100751366120219
qp090j,0,6,6,7,0.2698087431693989
qp090k,2,6,6,3,0.672301912568306
qp090m,5,6,6,2,0.6526639344262295
qp090n,0,1,5,6,0.6767418032786885
qp090p,0,7,2,1,0.7320696721311475
qp090q,0,7,2,1,0.7814207650273224
qp090r,0,1,5,6,0.8406762295081968
qp090s,2,6,6,3,0.734801912568306
qp090t,4,6,6,3,0.8662909836065574
qp090v,0,4,1,0,0.05396174863387978
qp090w,0,1,5,6,0.8557035519125683
qp090x,0,1,5,6,0.875853825136612
qp090y,0,5,1,1,0.07957650273224044
qp090z,0,0,0,0,0.0047814207650273225
qp0917,0,0,0,0,0.004098360655737705
qp0919,0,0,1,0,0.00034153005464480874
qp091d,0,0,1,1,0.0273224043715847
qp091e,0,5,1,5,0.07769808743169399
qp091f,0,0,1,0,0.01058743169398907
qp091g,0,2,3,7,0.22301912568306012
qp091h,0,0,0,4,0.00034153005464480874
qp091j,0,0,1,4,0.00017076502732240437
qp091k,0,5,1,5,0.07923497267759563
qp091m,0,5,0,1,0.1600068306010929
qp091n,0,5,1,0,0.0662568306010929
qp091p,0,0,1,0,0.015027322404371584
qp091q,0,5,1,5,0.2616120218579235
qp091r,0,5,4,5,0.21601775956284153
qp091s,0,5,1,3,0.09836065573770492
qp091t,5,3,4,2,0.730191256830601
qp091u,0,2,3,5,0.3751707650273224
qp091v,0,2,3,5,0.5826502732240437
qp091w,0,2,4,7,0.5826502732240437
qp091x,0,7,3,1,0.47165300546448086
qp091y,5,2,4,5,0.8519467213114754
qp091z,2,3,4,2,0.8114754098360656
qp0920,5,6,2,7,0.9279371584699454
qp0921,5,2,2,7,0.9585040983606558
qp0922,0,1,5,6,0.6560792349726776
qp0923,0,1,5,5,0.4402322404371585
qp0924,5,1,2,6,0.9590163934426229
qp0925,2,1,2,6,0.9974385245901639
qp0926,5,6,2,3,0.9574795081967213
qp0927,4,3,5,2,0.9970969945355191
qp0928,0,1,5,6,0.8878073770491803
qp0929,0,1,5,6,0.9118852459016393
qp092b,0,0,5,4,0.00017076502732240437
qp092d,0,1,5,6,0.9154713114754098
qp092e,5,1,5,6,0.9385245901639344
qp092h,2,1,2,6,0.9972677595628415
qp092j,2,1,5,6,0.9979508196721312
qp092k,4,7,2,7,0.9977800546448088
qp092m,4,7,2,1,0.9981215846994536
qp092n,2,1,2,6,0.9979508196721312
qp092p,5,7,2,1,0.9286202185792349
qp092q,4,7,2,1,0.9977800546448088
qp092r,2,7,2,1,0.9776297814207651
qp092s,5,1,5,6,0.9472336065573771
qp092t,5,6,2,1,0.9212773224043715
qp092w,4,6,5,1,0.9716530054644809
qp092x,2,7,2,1,0.9586748633879781
qp092z,0,5,4,0,0.05874316939890711
qp0930,0,5,4,7,0.18254781420765026
qp0931,0,0,1,0,0.0047814207650273225
qp0932,0,2,0,5,0.36953551912568305
qp0933,0,5,4,5,0.24026639344262296
qp0934,0,4,1,5,0.04081284153005464
qp0935,0,4,1,0,0.00853825136612022
qp0936,0,5,5,5,0.24795081967213115
qp0937,0,4,3,1,0.09904371584699453
qp0938,0,5,3,3,0.15625
qp0939,0,0,1,0,0.0011953551912568306
qp093b,5,3,4,2,0.7897882513661202
qp093c,0,2,4,5,0.6878415300546448
qp093d,0,2,4,5,0.39088114754098363
qp093e,0,3,4,7,0.6031420765027322
qp093f,0,5,4,5,0.2489754098360656
qp093g,5,3,3,2,0.8012295081967213
qp093h,0,0,0,4,0.0015368852459016393
qp093j,0,0,1,3,0.024419398907103824
qp093k,0,0,0,0,0.007855191256830601
qp093m,0,5,4,7,0.08196721311475409
qp093n,0,0,1,0,0.00819672131147541
qp093p,0,1,4,5,0.561646174863388
qp093q,0,7,3,1,0.5806010928961749
qp093r,5,2,4,5,0.8102800546448088
qp093s,0,5,4,0,0.38934426229508196
qp093t,0,2,0,5,0.2990095628415301
qp093u,5,2,4,5,0.7984972677595629
qp093v,5,2,4,7,0.7216530054644809
qp093w,2,2,3,7,0.9807035519125683
qp093x,2,3,4,2,0.9233265027322405
qp093y,2,7,3,3,0.8514344262295082
qp093z,0,7,3,3,0.5363729508196722
qp0941,5,3,3,2,0.6861338797814208
qp0942,0,4,1,0,0.07530737704918032
qp0943,0,4,1,3,0.03483606557377049
qp0944,0,2,4,7,0.733948087431694
qp0945,5,2,4,7,0.8761953551912568
qp0946,0,5,0,7,0.29559426229508196
qp0947,5,3,3,2,0.7587090163934426
qp0948,0,6,4,1,0.33043032786885246
qp0949,0,6,0,7,0.414275956284153
qp094b,5,3,4,2,0.7505122950819673
qp094c,5,6,4,7,0.7254098360655737
qp094d,0,5,0,0,0.12056010928961748
qp094e,0,5,1,0,0.08691939890710383
qp094f,0,5,1,7,0.10860655737704918
qp094g,0,7,3,1,0.6130464480874317
qp094h,5,7,3,1,0.5631830601092896
qp094j,0,2,4,7,0.59375
qp094k,5,6,4,2,0.768613387978142
qp094m,5,0,4,4,0.9096653005464481
qp094n,2,3,4,2,0.8430669398907104
qp094p,5,7,3,7,0.7851775956284153
qp094q,4,3,4,2,0.9836065573770492
qp094r,1,2,4,7,0.9970969945355191
qp094s,0,5,1,5,0.12329234972677595
qp094t,5,6,4,7,0.7665642076502732
qp094u,0,2,4,5,0.30191256830601093
qp094v,0,5,0,7,0.13507513661202186
qp094w,0,2,0,7,0.6521516393442623
qp094x,5,2,4,5,0.8594603825136612
qp094y,0,2,4,7,0.7076502732240437
qp094z,0,2,4,5,0.45116120218579236
qp0950,5,6,0,3,0.6772540983606558
qp0951,0,7,0,1,0.47011612021857924
qp0952,0,6,0,3,0.5734289617486339
qp0953,0,6,0,1,0.636441256830601
qp0954,0,7,1,7,0.17742486338797814
qp0955,0,7,3,1,0.16700819672131148
qp0956,0,4,1,3,0.03415300546448088
qp0957,0,6,0,7,0.39702868852459017
qp0958,0,6,0,7,0.4047131147540984
qp0959,0,5,0,3,0.16837431693989072
qp095b,0,6,4,3,0.6890368852459017
qp095c,0,1,0,5,0.5290300546448088
qp095d,0,5,4,5,0.14907786885245902
qp095e,0,5,0,3,0.27885928961748635
qp095f,0,0,5,1,0.022370218579234973
qp095g,0,5,3,3,0.11372950819672131
qp095h,0,5,1,7,0.056864754098360656
qp095j,0,2,1,5,0.505464480874317
qp095k,0,3,4,7,0.4182035519125683
qp095m,0,2,0,7,0.5187841530054644
qp095n,0,1,4,5,0.6029713114754098
qp095p,0,4,1,7,0.08709016393442623
qp095q,5,6,4,7,0.7971311475409836
qp095r,5,2,4,7,0.891905737704918
qp095s,0,2,4,5,0.4646516393442623
qp095t,0,5,4,3,0.2937158469945355
qp095u,0,2,0,7,0.5022199453551912
qp095v,5,3,4,2,0.8690232240437158
qp095w,0,6,0,3,0.6678620218579235
qp095x,0,2,0,5,0.6425887978142076
qp095y,0,7,4,1,0.4462090163934426
qp095z,0,2,0,5,0.5993852459016393
qp0960,5,7,3,1,0.7621243169398907
qp0961,5,2,4,5,0.8012295081967213
